Round,Accuracy (%),nt
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,0,5
0,0,6
0,0,7
0,0,8
0,0,9
0,0,10
0,0,11
0,0,12
0,0,13
0,0,14
0,0,15
0,0,16
0,0,17
0,0,18
0,0,19
0,0,20
0,0,21
0,0,22
0,0,23
0,0,24
0,0,25
1,0.15183574021464646,0
1,0.05141519360269361,1
1,0,2
1,0,3
1,0,4
1,0,5
1,0,6
1,0,7
1,0,8
1,0,9
1,0,10
1,0,11
1,0,12
1,0,13
1,0,14
1,0,15
1,0,16
1,0,17
1,0,18
1,0,19
1,0,20
1,0,21
1,0,22
1,0,23
1,0,24
1,0,25
2,0.2560161211825614,0
2,0.1694391835016835,1
2,0.04264247265892003,2
2,0,3
2,0,4
2,0,5
2,0,6
2,0,7
2,0,8
2,0,9
2,0,10
2,0,11
2,0,12
2,0,13
2,0,14
2,0,15
2,0,16
2,0,17
2,0,18
2,0,19
2,0,20
2,0,21
2,0,22
2,0,23
2,0,24
2,0,25
3,0.180665707875823,0
3,0.04926083754208754,1
3,0.028464988425925927,2
3,0.13769219746810207,3
3,0,4
3,0,5
3,0,6
3,0,7
3,0,8
3,0,9
3,0,10
3,0,11
3,0,12
3,0,13
3,0,14
3,0,15
3,0,16
3,0,17
3,0,18
3,0,19
3,0,20
3,0,21
3,0,22
3,0,23
3,0,24
3,0,25
4,0.21179569128787878,0
4,0.050866593307954865,1
4,0.017992424242424244,2
4,0.0,3
4,0.0,4
4,0,5
4,0,6
4,0,7
4,0,8
4,0,9
4,0,10
4,0,11
4,0,12
4,0,13
4,0,14
4,0,15
4,0,16
4,0,17
4,0,18
4,0,19
4,0,20
4,0,21
4,0,22
4,0,23
4,0,24
4,0,25
5,0.23961594523430818,0
5,0.017916666666666664,1
5,0.15136339355089357,2
5,0.06534090909090909,3
5,0,4
5,0.0,5
5,0,6
5,0,7
5,0,8
5,0,9
5,0,10
5,0,11
5,0,12
5,0,13
5,0,14
5,0,15
5,0,16
5,0,17
5,0,18
5,0,19
5,0,20
5,0,21
5,0,22
5,0,23
5,0,24
5,0,25
6,0.24503173378841553,0
6,0.1730477688787185,1
6,0.07659143518518519,2
6,0.1504103535353535,3
6,0.2421875,4
6,0,5
6,0.016927083333333332,6
6,0,7
6,0,8
6,0,9
6,0,10
6,0,11
6,0,12
6,0,13
6,0,14
6,0,15
6,0,16
6,0,17
6,0,18
6,0,19
6,0,20
6,0,21
6,0,22
6,0,23
6,0,24
6,0,25
7,0.19254541716507179,0
7,0.23598091875230034,1
7,0.07201086956521739,2
7,0.040914351851851855,3
7,0.21354166666666666,4
7,0.1640625,5
7,0,6
7,0.018229166666666668,7
7,0,8
7,0,9
7,0,10
7,0,11
7,0,12
7,0,13
7,0,14
7,0,15
7,0,16
7,0,17
7,0,18
7,0,19
7,0,20
7,0,21
7,0,22
7,0,23
7,0,24
7,0,25
8,0.3648618586840394,0
8,0.2863698664274322,1
8,0.07394462719298246,2
8,0,3
8,0.09519675925925926,4
8,0.11631944444444445,5
8,0.2578125,6
8,0,7
8,0,8
8,0,9
8,0,10
8,0,11
8,0,12
8,0,13
8,0,14
8,0,15
8,0,16
8,0,17
8,0,18
8,0,19
8,0,20
8,0,21
8,0,22
8,0,23
8,0,24
8,0,25
9,0.32056791568610876,0
9,0.11513221153846154,1
9,0.004577020202020202,2
9,0.2970120614035088,3
9,0,4
9,0.058912037037037034,5
9,0.234375,6
9,0,7
9,0,8
9,0,9
9,0,10
9,0,11
9,0,12
9,0,13
9,0,14
9,0,15
9,0,16
9,0,17
9,0,18
9,0,19
9,0,20
9,0,21
9,0,22
9,0,23
9,0,24
9,0,25
10,0.3786750347605611,0
10,0.16182245347496704,1
10,0.10850694444444445,2
10,0.1981534090909091,3
10,0.17763157894736842,4
10,0,5
10,0.0609375,6
10,0,7
10,0,8
10,0,9
10,0,10
10,0,11
10,0,12
10,0,13
10,0,14
10,0,15
10,0,16
10,0,17
10,0,18
10,0,19
10,0,20
10,0,21
10,0,22
10,0,23
10,0,24
10,0,25
11,0.20927106775945178,0
11,0.020246461323763953,1
11,0.04875092638339921,2
11,0,3
11,0.10590277777777778,4
11,0,5
11,0,6
11,0.0046875,7
11,0,8
11,0,9
11,0,10
11,0,11
11,0,12
11,0,13
11,0,14
11,0,15
11,0,16
11,0,17
11,0,18
11,0,19
11,0,20
11,0,21
11,0,22
11,0,23
11,0,24
11,0,25
12,0.3195035228302042,0
12,0.24080341411755887,1
12,0.2762510660331384,2
12,0.19602272727272727,3
12,0,4
12,0,5
12,0,6
12,0,7
12,0.09375,8
12,0,9
12,0,10
12,0,11
12,0,12
12,0,13
12,0,14
12,0,15
12,0,16
12,0,17
12,0,18
12,0,19
12,0,20
12,0,21
12,0,22
12,0,23
12,0,24
12,0,25
13,0.3512488768579435,0
13,0.1709235699385156,1
13,0.25048328255565094,2
13,0.503125,3
13,0,4
13,0,5
13,0,6
13,0,7
13,0,8
13,0,9
13,0,10
13,0,11
13,0,12
13,0,13
13,0,14
13,0,15
13,0,16
13,0,17
13,0,18
13,0,19
13,0,20
13,0,21
13,0,22
13,0,23
13,0,24
13,0,25
14,0.34580539282263123,0
14,0.15789286782296652,1
14,0.09580176767676768,2
14,0.250264985380117,3
14,0,4
14,0,5
14,0,6
14,0,7
14,0,8
14,0,9
14,0,10
14,0,11
14,0,12
14,0,13
14,0,14
14,0,15
14,0,16
14,0,17
14,0,18
14,0,19
14,0,20
14,0,21
14,0,22
14,0,23
14,0,24
14,0,25
15,0.3393286328833204,0
15,0.25991809226778656,1
15,0.24643141945773525,2
15,0.34375,3
15,0.21482090643274854,4
15,0,5
15,0,6
15,0,7
15,0,8
15,0,9
15,0,10
15,0,11
15,0,12
15,0,13
15,0,14
15,0,15
15,0,16
15,0,17
15,0,18
15,0,19
15,0,20
15,0,21
15,0,22
15,0,23
15,0,24
15,0,25
16,0.46147528635327184,0
16,0.07163194444444446,1
16,0.008256392045454546,2
16,0.03409090909090909,3
16,0,4
16,0.31103385832004254,5
16,0,6
16,0,7
16,0,8
16,0,9
16,0,10
16,0,11
16,0,12
16,0,13
16,0,14
16,0,15
16,0,16
16,0,17
16,0,18
16,0,19
16,0,20
16,0,21
16,0,22
16,0,23
16,0,24
16,0,25
17,0.35440301181147865,0
17,0.21881191724941726,1
17,0.09166666666666667,2
17,0.40784801136363635,3
17,0.19886363636363635,4
17,0,5
17,0,6
17,0,7
17,0,8
17,0,9
17,0,10
17,0,11
17,0,12
17,0,13
17,0,14
17,0,15
17,0,16
17,0,17
17,0,18
17,0,19
17,0,20
17,0,21
17,0,22
17,0,23
17,0,24
17,0,25
18,0.40461670490967366,0
18,0.28926783155187047,1
18,0.28882575757575757,2
18,0.2865885416666667,3
18,0.11585582386363637,4
18,0,5
18,0,6
18,0,7
18,0,8
18,0,9
18,0,10
18,0,11
18,0,12
18,0,13
18,0,14
18,0,15
18,0,16
18,0,17
18,0,18
18,0,19
18,0,20
18,0,21
18,0,22
18,0,23
18,0,24
18,0,25
19,0.3507638610665954,0
19,0.2224984217171717,1
19,0.23931634091817158,2
19,0.2765151515151515,3
19,0,4
19,0.640625,5
19,0,6
19,0,7
19,0,8
19,0,9
19,0,10
19,0,11
19,0,12
19,0,13
19,0,14
19,0,15
19,0,16
19,0,17
19,0,18
19,0,19
19,0,20
19,0,21
19,0,22
19,0,23
19,0,24
19,0,25
20,0.41960301687378165,0
20,0.28615785256410253,1
20,0.17252604166666669,2
20,0.2650808415485904,3
20,0,4
20,0,5
20,0,6
20,0,7
20,0,8
20,0,9
20,0,10
20,0,11
20,0,12
20,0,13
20,0,14
20,0,15
20,0,16
20,0,17
20,0,18
20,0,19
20,0,20
20,0,21
20,0,22
20,0,23
20,0,24
20,0,25
21,0.4475359698324336,0
21,0.28385416666666663,1
21,0.28828125,2
21,0.13411458333333334,3
21,0.3456937799043062,4
21,0,5
21,0,6
21,0,7
21,0,8
21,0,9
21,0,10
21,0,11
21,0,12
21,0,13
21,0,14
21,0,15
21,0,16
21,0,17
21,0,18
21,0,19
21,0,20
21,0,21
21,0,22
21,0,23
21,0,24
21,0,25
22,0.3482372124780413,0
22,0.18869981443994602,1
22,0.10059580176767678,2
22,0,3
22,0,4
22,0.12402811004784689,5
22,0,6
22,0,7
22,0,8
22,0,9
22,0,10
22,0,11
22,0,12
22,0,13
22,0,14
22,0,15
22,0,16
22,0,17
22,0,18
22,0,19
22,0,20
22,0,21
22,0,22
22,0,23
22,0,24
22,0,25
23,0.39276666230562207,0
23,0.23446140526643244,1
23,0.3561787749287749,2
23,0.24147727272727273,3
23,0,4
23,0,5
23,0,6
23,0,7
23,0,8
23,0,9
23,0,10
23,0,11
23,0,12
23,0,13
23,0,14
23,0,15
23,0,16
23,0,17
23,0,18
23,0,19
23,0,20
23,0,21
23,0,22
23,0,23
23,0,24
23,0,25
24,0.4207020374012561,0
24,0.17532234350079745,1
24,0.17992527173913042,2
24,0.0078125,3
24,0,4
24,0,5
24,0,6
24,0,7
24,0,8
24,0,9
24,0,10
24,0,11
24,0,12
24,0,13
24,0,14
24,0,15
24,0,16
24,0,17
24,0,18
24,0,19
24,0,20
24,0,21
24,0,22
24,0,23
24,0,24
24,0,25
25,0.4261673342419642,0
25,0.2839646464646465,1
25,0.509765625,2
25,0.23507401917728002,3
25,0,4
25,0,5
25,0,6
25,0,7
25,0,8
25,0,9
25,0,10
25,0,11
25,0,12
25,0,13
25,0,14
25,0,15
25,0,16
25,0,17
25,0,18
25,0,19
25,0,20
25,0,21
25,0,22
25,0,23
25,0,24
25,0,25
